Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
Ft-CNN,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.45714285714285713,0.45714285714285713,,0.45714285714285713,0.0,0.39438000773992143
LwF,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.45714285714285713,0.45714285714285713,,0.45714285714285713,0.0,0.39438000773992143
EEIL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.45714285714285713,0.45714285714285713,,0.45714285714285713,0.0,0.39438000773992143
iCaRL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5642857142857143,0.5642857142857143,,0.5642857142857143,0.0,0.5513738398203716
TPCIL-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5738095238095238,0.5738095238095238,,0.5738095238095238,0.0,0.5624528860858694
DOI-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5642857142857143,0.5642857142857143,,0.5642857142857143,0.0,0.5513738398203716
Ft-CNN,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.3476190476190476,0.4023809523809524,0.23809523809523808,0.4023809523809524,0.054761904761904734,0.2621025738379799
LwF,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.353968253968254,0.5142857142857142,0.03333333333333333,0.5142857142857142,-0.057142857142857106,0.2631775430480234
iCaRL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.42063492063492064,0.5,0.2619047619047619,0.5,0.06428571428571428,0.4191149832933386
EEIL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.2841269841269841,0.319047619047619,0.21428571428571427,0.319047619047619,0.1380952380952381,0.23417808969242912
TPCIL-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.4396825396825397,0.55,0.21904761904761905,0.55,0.023809523809523725,0.4343068352940893
DOI-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.3952380952380952,0.4857142857142857,0.21428571428571427,0.4857142857142857,0.07857142857142857,0.3928002469502336
Ft-CNN,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.24761904761904763,0.2714285714285714,0.1761904761904762,0.40476190476190477,0.05238095238095236,0.2031622522388389
LwF,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.2785714285714286,0.2904761904761905,0.24285714285714285,0.4357142857142857,0.021428571428571408,0.21406764110439241
iCaRL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.36547619047619045,0.40476190476190477,0.24761904761904763,0.5238095238095238,0.04047619047619044,0.3535972144999186
EEIL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.25595238095238093,0.2698412698412698,0.21428571428571427,0.4,0.057142857142857106,0.21607255204907183
TPCIL-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.37976190476190474,0.41904761904761906,0.2619047619047619,0.5476190476190477,0.026190476190476097,0.3643532904249194
DOI-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.35,0.4111111111111111,0.16666666666666666,0.5095238095238095,0.05476190476190479,0.3376237034918331
Ft-CNN,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.17333333333333334,0.15833333333333333,0.23333333333333334,0.3142857142857143,0.14285714285714285,0.12105331007799061
LwF,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.18761904761904763,0.15595238095238095,0.3142857142857143,0.3119047619047619,0.14523809523809522,0.1273139658750024
iCaRL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.3,0.33214285714285713,0.17142857142857143,0.44761904761904764,0.11666666666666664,0.2825478877654277
EEIL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.2523809523809524,0.22380952380952382,0.36666666666666664,0.40714285714285714,0.04999999999999999,0.1918837449075999
TPCIL-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.2838095238095238,0.3047619047619048,0.2,0.430952380952381,0.1428571428571428,0.2658857345774881
DOI-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.2980952380952381,0.3261904761904762,0.18571428571428572,0.44761904761904764,0.11666666666666664,0.28493776932648596
